permutation,diagonal_dominance,matching_margin
630,0.21568627450980393,-930.6448771719839
631,0.21568627450980393,-947.5904612447702
632,0.2647058823529412,-726.3157013350842
633,0.2107843137254902,-998.7554325589947
634,0.25980392156862747,-929.2916087262771
635,0.20098039215686275,-996.3438335773992
636,0.2549019607843137,-951.5415009704291
637,0.22549019607843138,-746.1210342949512
638,0.2107843137254902,-917.8708422137241
639,0.18627450980392157,-970.4158748177921
640,0.21568627450980393,-948.9252163382138
641,0.27941176470588236,-775.0365436217364
642,0.21568627450980393,-890.4055871309018
643,0.21568627450980393,-1085.2088181177776
644,0.27941176470588236,-809.5123976352168
645,0.20588235294117646,-1004.601458194209
646,0.23039215686274508,-1012.3360501831653
647,0.22549019607843138,-949.1616292093314
648,0.20098039215686275,-983.7332534042059
